public_list is a boolean, just send 1 for true, 0 for false
POST (returns string) -> Create List (user_id in the BODY) = "https://cloudcomputingapi.azurewebsites.net/Movies/list/create/{user_list_name}/{public_list}";
POST (returns string) -> Add Movie To List (user_id in the BODY) = "https://cloudcomputingapi.azurewebsites.net/Movies/list/add/{user_list_name}/{movie_id}";
POST (returns string) -> Remove Movie From List (user_id in the BODY) = "https://cloudcomputingapi.azurewebsites.net/Movies/list/remove/{user_list_name}/{movie_id}";

UserList object which has { int list_id; 
							string list_name; }

GET -> get all lists for a user, returns Array of UserList -> has the purpose to give the necessary
information to display all the lists that a user have = "https://cloudcomputingapi.azurewebsites.net/Movies/list/user/get/{user_id}";

GET -> get the content of a list, returns array of movie_id = "https://cloudcomputingapi.azurewebsites.net/Movies/list/content/get/{user_id}/{list_id}";

POST (returns string) -> edit the name and the privacy choice of a list (user_id in the BODY) = "https://cloudcomputingapi.azurewebsites.net/Movies/list/edit/{new_user_list_name}/{public_list}";

GET -> returns all the public lists besides the ones which belongs to the current logged in user, returns array of UserList object = "https://cloudcomputingapi.azurewebsites.net/Movies/list/global/get/{user_id}";
